dish_id,cluster
dish_1561578839,0
dish_1561740353,0
dish_1561999355,0
dish_1562774159,0
dish_1562788794,0
dish_1562875898,0
dish_1563221562,0
dish_1563389786,0
dish_1563464543,0
dish_1563910171,0
dish_1566502315,0
dish_1568060501,0
dish_1550704750,1
dish_1558028007,1
dish_1558115320,1
dish_1558115960,1
dish_1558376734,1
dish_1560961059,1
dish_1562774531,1
dish_1562947020,1
dish_1563378002,1
dish_1565884692,1
dish_1567714839,1
dish_1572031254,1
dish_1561405887,2
dish_1561736736,2
dish_1562615283,2
dish_1563216659,2
dish_1563551105,2
dish_1563564676,2
dish_1563822546,2
dish_1563822597,2
dish_1566328929,2
dish_1566587143,2
dish_1566933226,2
dish_1575997268,2
dish_1550795856,3
dish_1550797753,3
dish_1550863309,3
dish_1550875293,3
dish_1550875891,3
dish_1550876376,3
dish_1551123986,3
dish_1551222472,3
dish_1551314095,3
dish_1551391257,3
dish_1551492866,3
dish_1568060414,3
dish_1560453132,4
dish_1561739805,4
dish_1562691000,4
dish_1562784347,4
dish_1562875211,4
dish_1563481030,4
dish_1563553735,4
dish_1563986062,4
dish_1566246513,4
dish_1566246626,4
dish_1566331828,4
dish_1568666032,4
dish_1550712654,5
dish_1550792365,5
dish_1550859578,5
dish_1550873338,5
dish_1551141747,5
dish_1551222791,5
dish_1551225501,5
dish_1551389588,5
dish_1551393069,5
dish_1551567896,5
dish_1557861697,5
dish_1562873814,5
