dish_id,cluster
dish_1561575506,0
dish_1562691466,0
dish_1562956510,0
dish_1563303386,0
dish_1567789190,0
dish_1568401302,0
dish_1551142128,1
dish_1562687246,1
dish_1563563264,1
dish_1566923004,1
dish_1568217267,1
dish_1574280383,1
dish_1560799558,2
dish_1562184604,2
dish_1562774099,2
dish_1563564676,2
dish_1563909507,2
dish_1565378731,2
dish_1550712681,3
dish_1550770447,3
dish_1550861074,3
dish_1551139487,3
dish_1551488415,3
dish_1551488737,3
dish_1560369403,4
dish_1560455263,4
dish_1562602918,4
dish_1562873544,4
dish_1563302447,4
dish_1565640842,4
dish_1550775273,5
dish_1550792365,5
dish_1551223114,5
dish_1551316878,5
dish_1551381496,5
dish_1551491452,5
