dish_id,cluster
dish_1562007817,0
dish_1562009120,0
dish_1562183151,0
dish_1562873187,0
dish_1562959129,0
dish_1563307575,0
dish_1563381486,0
dish_1563389114,0
dish_1563568319,0
dish_1563827132,0
dish_1565799565,0
dish_1566587182,0
dish_1566931482,0
dish_1567789230,0
dish_1568318361,0
dish_1568318480,0
dish_1550862993,1
dish_1558115764,1
dish_1558468547,1
dish_1558546434,1
dish_1559590099,1
dish_1559842374,1
dish_1561739954,1
dish_1562959344,1
dish_1563389079,1
dish_1563898019,1
dish_1563996596,1
dish_1565024741,1
dish_1566328724,1
dish_1566835641,1
dish_1572988785,1
dish_1574109245,1
dish_1559589873,2
dish_1561062286,2
dish_1561578570,2
dish_1561667430,2
dish_1561746912,2
dish_1561751958,2
dish_1561753649,2
dish_1562008517,2
dish_1562702044,2
dish_1563305837,2
dish_1563822546,2
dish_1563824130,2
dish_1565036865,2
dish_1565974409,2
dish_1565987298,2
dish_1566850099,2
dish_1550710207,3
dish_1550792194,3
dish_1551125357,3
dish_1551233938,3
dish_1551235983,3
dish_1551304456,3
dish_1551304973,3
dish_1551323219,3
dish_1551379162,3
dish_1551390802,3
dish_1551399293,3
dish_1551399340,3
dish_1551487158,3
dish_1551490896,3
dish_1551492866,3
dish_1551566851,3
dish_1560526447,4
dish_1560874751,4
dish_1561577848,4
dish_1561580659,4
dish_1561664061,4
dish_1562169840,4
dish_1562947436,4
dish_1562958629,4
dish_1563216689,4
dish_1563217993,4
dish_1563294547,4
dish_1563389548,4
dish_1565637608,4
dish_1565726949,4
dish_1566333324,4
dish_1568405466,4
dish_1550708327,5
dish_1550708556,5
dish_1550710342,5
dish_1550711244,5
dish_1550770511,5
dish_1550791302,5
dish_1551134824,5
dish_1551135767,5
dish_1551142589,5
dish_1551233248,5
dish_1551323035,5
dish_1551490767,5
dish_1551564857,5
dish_1551567896,5
dish_1557853229,5
dish_1562875159,5
