dish_id,cluster
dish_1561062586,0
dish_1561576767,0
dish_1562615153,0
dish_1563305513,0
dish_1563379132,0
dish_1563381512,0
dish_1563568357,0
dish_1563910676,0
dish_1563984729,0
dish_1564168739,0
dish_1565711115,0
dish_1565987081,0
dish_1566414924,0
dish_1566415558,0
dish_1567023375,0
dish_1567106794,0
dish_1567526785,0
dish_1567537387,0
dish_1567613057,0
dish_1568666357,0
dish_1558030289,1
dish_1558378553,1
dish_1558379588,1
dish_1558468632,1
dish_1558546434,1
dish_1559841061,1
dish_1560442450,1
dish_1560455030,1
dish_1562613285,1
dish_1563464429,1
dish_1563479526,1
dish_1564073641,1
dish_1565194684,1
dish_1565728494,1
dish_1565898544,1
dish_1566835641,1
dish_1567021831,1
dish_1568305198,1
dish_1568315988,1
dish_1572988741,1
dish_1559841979,2
dish_1561405332,2
dish_1561574600,2
dish_1561739160,2
dish_1562096512,2
dish_1562615070,2
dish_1562787783,2
dish_1562873155,2
dish_1562959517,2
dish_1563304925,2
dish_1563382911,2
dish_1563395341,2
dish_1563827060,2
dish_1563909469,2
dish_1565638478,2
dish_1566328929,2
dish_1566330428,2
dish_1566933226,2
dish_1567628099,2
dish_1568141871,2
dish_1550791160,3
dish_1550862908,3
dish_1551222982,3
dish_1551225467,3
dish_1551226363,3
dish_1551232713,3
dish_1551304973,3
dish_1551314337,3
dish_1551388984,3
dish_1551389118,3
dish_1551391438,3
dish_1551392316,3
dish_1551394835,3
dish_1551395987,3
dish_1551397752,3
dish_1551488861,3
dish_1551490469,3
dish_1551563591,3
dish_1551563723,3
dish_1559845637,3
dish_1559933818,4
dish_1560369403,4
dish_1560453412,4
dish_1560455421,4
dish_1560974009,4
dish_1561654346,4
dish_1562012076,4
dish_1562168450,4
dish_1562169818,4
dish_1562613918,4
dish_1562614121,4
dish_1562617939,4
dish_1562699652,4
dish_1563393217,4
dish_1563996656,4
dish_1564086658,4
dish_1564170010,4
dish_1565895808,4
dish_1566934487,4
dish_1568229399,4
dish_1550710577,5
dish_1550712369,5
dish_1550796330,5
dish_1550859578,5
dish_1550860041,5
dish_1551142046,5
dish_1551222068,5
dish_1551222833,5
dish_1551233007,5
dish_1551305209,5
dish_1551377473,5
dish_1551377874,5
dish_1551378955,5
dish_1551378996,5
dish_1551381555,5
dish_1551395269,5
dish_1551395800,5
dish_1551494178,5
dish_1551567170,5
dish_1556575386,5
