dish_id,cluster
dish_1562008780,0
dish_1562617470,0
dish_1563378051,0
dish_1563551432,0
dish_1563568338,0
dish_1563811412,0
dish_1566502573,0
dish_1567801830,0
dish_1558030289,1
dish_1563308386,1
dish_1563378002,1
dish_1563823814,1
dish_1565637504,1
dish_1567022212,1
dish_1568143527,1
dish_1573159511,1
dish_1560368944,2
dish_1560368990,2
dish_1561577678,2
dish_1561578603,2
dish_1562787745,2
dish_1563824092,2
dish_1566937992,2
dish_1568404889,2
dish_1550712681,3
dish_1550712729,3
dish_1550770265,3
dish_1550793192,3
dish_1551225666,3
dish_1551306452,3
dish_1551374783,3
dish_1551389749,3
dish_1561662532,4
dish_1562686520,4
dish_1562874049,4
dish_1562876756,4
dish_1563304369,4
dish_1563813360,4
dish_1565724620,4
dish_1566333255,4
dish_1551141892,5
dish_1551222311,5
dish_1551225501,5
dish_1551318673,5
dish_1551379408,5
dish_1551389506,5
dish_1551390382,5
dish_1551565495,5
