dish_id,cluster
dish_1562774159,0
dish_1562775574,0
dish_1563220143,0
dish_1563389719,0
dish_1563464543,0
dish_1563551220,0
dish_1563553780,0
dish_1563565508,0
dish_1563911255,0
dish_1565382886,0
dish_1565640576,0
dish_1566414342,0
dish_1567714934,0
dish_1568060501,0
dish_1558115241,1
dish_1558379273,1
dish_1558379588,1
dish_1558547124,1
dish_1560444985,1
dish_1560961059,1
dish_1562614895,1
dish_1562687246,1
dish_1563294491,1
dish_1565034234,1
dish_1565208562,1
dish_1565641885,1
dish_1565986761,1
dish_1567022180,1
dish_1558031526,2
dish_1559589873,2
dish_1560456305,2
dish_1561577701,2
dish_1562010821,2
dish_1562700906,2
dish_1562788010,2
dish_1562958563,2
dish_1562958603,2
dish_1563395415,2
dish_1566937992,2
dish_1567628069,2
dish_1567801791,2
dish_1568314857,2
dish_1550788827,3
dish_1550791644,3
dish_1550863037,3
dish_1550874464,3
dish_1551122844,3
dish_1551138180,3
dish_1551225467,3
dish_1551235983,3
dish_1551304973,3
dish_1551306798,3
dish_1551313872,3
dish_1551380950,3
dish_1551488807,3
dish_1551565996,3
dish_1559678127,4
dish_1560368506,4
dish_1560442303,4
dish_1560961202,4
dish_1561578800,4
dish_1561654707,4
dish_1562788032,4
dish_1563206409,4
dish_1563897492,4
dish_1565035858,4
dish_1565798617,4
dish_1565799597,4
dish_1566230300,4
dish_1566333291,4
dish_1550773839,5
dish_1550785404,5
dish_1550785599,5
dish_1551136891,5
dish_1551233827,5
dish_1551235270,5
dish_1551307090,5
dish_1551375783,5
dish_1551396096,5
dish_1551492348,5
dish_1551565068,5
dish_1551567848,5
dish_1551567896,5
dish_1561493975,5
